Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,8,12.903225806451612
Enterobacter cloacae,196,22,11.224489795918368
Enterobacter hormaechi,140,6,4.285714285714286
Enterobacter spp,58,0,0.0
Escherichia coli,3662,236,6.444565811032223
Klebsiella aerogenes,42,6,14.285714285714286
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,228,3.8076152304609217
Morganella morganii,20,0,0.0
Proteus mirabilis,340,40,11.764705882352942
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,68,14.285714285714286
