Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21191338484915176
Klebsiella pneumoniae,0.20689742265003336
Enterobacter cloacae,0.20369338986718527
Citrobacter freundii,0.2012741451081037
Escherichia coli,0.19307150284472896
Klebsiella oxytoca,0.19042405842521432
Enterobacter spp,0.18907933796575507
Providencia stuartii,0.17420201874641833
Proteus mirabilis,0.17317076545756097
Pseudomonas aeruginosa,0.17024278202849072
Enterobacter hormaechi,0.16708801278142554
Providencia spp,0.16352616223038008
Klebsiella aerogenes,0.1584456776275277
Morganella morganii,0.006471781483712935
