Species,Median_Probability_Gene_Presence
Morganella morganii,0.35538148077415765
Enterobacter cloacae,0.213948428567929
Providencia rettgeri,0.2131534979963544
Klebsiella pneumoniae,0.20848875455398685
Klebsiella oxytoca,0.2074986989816557
Escherichia coli,0.20445666653272393
Citrobacter freundii,0.2034926217279513
Enterobacter spp,0.2034752577211052
Klebsiella aerogenes,0.20264216199712357
Enterobacter hormaechi,0.19560971029975022
Providencia stuartii,0.19499847262331224
Providencia spp,0.1885421418913238
Proteus mirabilis,0.1879437301196467
Pseudomonas aeruginosa,0.17182021905191336
