Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15060754846514485
Pseudomonas aeruginosa,0.13216002162289936
Enterobacter spp,0.1267873684047306
Escherichia coli,0.12208346367989187
Klebsiella aerogenes,0.12188145257025376
Klebsiella pneumoniae,0.12176295175402398
Citrobacter freundii,0.11889605097709288
Providencia rettgeri,0.11746236859370662
Enterobacter cloacae,0.10664607888166158
Enterobacter hormaechi,0.10589023219803038
Providencia stuartii,0.10168444609218467
Providencia spp,0.07609396213571457
Klebsiella oxytoca,0.05764019249810255
Morganella morganii,0.020688742486680373
