Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8942620127917852,0.5823003605802414,0.9788229183612766
2014,0.8999431342915958,0.6133033030482544,0.9771010548284454
2015,0.9054249303159683,0.6291897349439812,0.9759606845684815
2016,0.9108338876584415,0.6577053537002733,0.9755671110071368
2017,0.9157169896993278,0.678411740276758,0.9748964714688577
2018,0.9199070901326332,0.7012579815714403,0.9755238237006892
2019,0.9237297710257377,0.7109876872188536,0.9767740491544443
2020,0.9276495833044123,0.7159893042757906,0.9786424750399987
2021,0.9312464299538269,0.7189720786712809,0.981354071359299
2022,0.9342537334667602,0.7251149886018583,0.9835200371328989
2023,0.9367592906468531,0.7211036684490997,0.9854133632851999
