Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0011196061487217463,2.581868915975386e-13,0.9999510907524828
2014,0.005032162655650366,2.372706949783676e-11,0.9999110311494497
2015,0.021581679456495133,2.741154207168873e-09,0.9998560009078438
2016,0.08864049251770648,2.828035823348185e-07,0.9997565752326644
2017,0.3067341522996906,2.8900487432751454e-05,0.9996094174021992
2018,0.657834889274741,0.002306281452712663,0.9994157271971525
2019,0.895104112755557,0.10502211165069307,0.9991390119233917
2020,0.975721318489252,0.6963868248919562,0.9994180421685556
2021,0.9940904028398266,0.9085723212617632,0.9999621650681543
2022,0.9985646579721246,0.9402879514642745,0.9999992843376346
2023,0.9996717232834531,0.9296829844983033,0.9999999902851356
