Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,5.948296778796728e-05,3.7033448868838037e-13,0.09407478365786583
2014,0.0003680318675191662,3.235346183273737e-11,0.19118572264504669
2015,0.0023295812289374834,3.779404026940531e-09,0.3678490096266866
2016,0.013604332283443231,3.3777476498876195e-07,0.6246604726007969
2017,0.07590302746933857,2.561845220741137e-05,0.8391536566503379
2018,0.33732693426889726,0.0015805327975914791,0.9510578779833783
2019,0.7681368836169932,0.0728718743118916,0.990554195697808
2020,0.9558137885420654,0.5150345670188832,0.9991849731741839
2021,0.9934057828438703,0.8426893925087878,0.9999716722012374
2022,0.9990062169214866,0.9479120228272062,0.9999995128119966
2023,0.9998376489492455,0.9815275018378283,0.9999999927984005
