Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999999746722509,0.9995132135945873,0.9999999999999998
2014,0.9999996530782932,0.9982105330019589,0.9999999999999655
2015,0.9999950484513553,0.993713338031197,0.999999999994519
2016,0.9999314290346791,0.9779532128623607,0.9999999987163892
2017,0.9990355562852529,0.9193327715438367,0.9999997637576193
2018,0.986575558008311,0.7145658493781233,0.9999595207271202
2019,0.8444074728448944,0.26833212430569253,0.9956138303375123
2020,0.28366579657974195,0.018663422831182667,0.801220670528919
2021,0.02703173879590828,0.00024240158085537538,0.26780740433588157
2022,0.0018254069953839388,1.624370579354161e-06,0.06748955656687744
2023,0.00012591733566144755,7.670109738573022e-09,0.019124600373128343
