Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8223100519244418,0.49867167416057123,0.9336187605567436
2014,0.814883708777077,0.4833536291450032,0.9291744391690829
2015,0.8070557796869844,0.47270111278604027,0.9251379690206817
2016,0.7987840145384332,0.4644038670902588,0.9210298575794421
2017,0.7894552491495921,0.45234473229288547,0.9159404927773931
2018,0.7810474895055879,0.4347751972212708,0.9120348844776055
2019,0.7726006501348724,0.42176999389941483,0.908288328470537
2020,0.7635334668708856,0.4042325099407871,0.9026941073253906
2021,0.754980359942805,0.38904733468022284,0.896418239252904
2022,0.7450038189945625,0.37460731284948107,0.8928910587847005
2023,0.7350300433723997,0.35705769189714737,0.8900953891542291
