Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999993093805816,0.9719516288257763,0.9999999999999922
2014,0.9999945530842049,0.9364932956844904,0.9999999999991946
2015,0.9999545864682216,0.8600233163466162,0.9999999999068754
2016,0.9996223073409185,0.6973522288071556,0.9999999917364837
2017,0.9967860361164074,0.46108319314296403,0.9999991612207328
2018,0.9722767078779062,0.21313100627612155,0.9999316986122764
2019,0.8027071244280224,0.0677407986189416,0.9964472950382912
2020,0.30862691744272097,0.011164256693437387,0.9158838392178263
2021,0.05283076576171503,0.0005102894661003862,0.4427078552104521
2022,0.006793304092616611,1.0055724294412896e-05,0.12899240618102553
2023,0.0008343693427565531,1.1936772543147284e-07,0.042890854345373444
