Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8046420089814071,0.46159416236362516,0.9283566465144616
2014,0.7698077269276176,0.417336445650199,0.9115429097366632
2015,0.7307461108147009,0.366448902500854,0.8906037097252467
2016,0.6877639545471284,0.31799444432262064,0.8667597595209051
2017,0.6416792003386341,0.2717912133491037,0.8409419836537758
2018,0.5919314858708693,0.2271025880770235,0.8091969482630773
2019,0.5408520094173241,0.19666793314189354,0.770673407694921
2020,0.48857562581863234,0.16280806862929348,0.7313729117404246
2021,0.436693005724328,0.13253842058109286,0.6891950669415161
2022,0.38579705516266555,0.10895579289114646,0.643524731987333
2023,0.3365746489132845,0.08743236435450354,0.6000558367905011
