Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9990856650948717,0.9017685013197887,0.9999999939943319
2014,0.9968720283909569,0.8444498249632606,0.999999849994861
2015,0.9891458988676862,0.7562886376211032,0.9999962471145853
2016,0.9640566479947235,0.6371597951497443,0.9999155972247119
2017,0.8887099167284488,0.47918659255162643,0.9978960589426086
2018,0.7005939880453913,0.28376107865965305,0.9582941973236271
2019,0.39365583864999343,0.10761606807182396,0.7127254059386805
2020,0.14082607617679777,0.013452636880409232,0.49866445352984257
2021,0.04439969285227968,0.000657528738479045,0.34129874374272784
2022,0.01318099736072312,2.7949063474328095e-05,0.22695042762369516
2023,0.0037354186447663444,1.1377834477112581e-06,0.14864760886403264
