Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.4246887644865427,3.72672406739745e-12,0.9999999973675564
2014,0.5499945279808397,2.7428949085483165e-10,0.999999972414649
2015,0.6830364286580215,2.0637506206666395e-08,0.999999705537663
2016,0.7938974634441472,1.8638283076619587e-06,0.9999972941330723
2017,0.8624823787525208,0.00013648746275020203,0.9999742586889702
2018,0.9094093881366361,0.008329944193239208,0.9998257584950742
2019,0.9449770076613115,0.26779864199151154,0.9990979773675396
2020,0.9675488215372329,0.6894121588096429,0.9991855912634929
2021,0.982066913338104,0.4389574787581667,0.9999458812119415
2022,0.9893524762517646,0.09936876787420189,0.9999988183732214
2023,0.9934403947841868,0.012656514800998449,0.9999999845669744
