Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9442032278744223,0.0028876440323583846,0.9999981364006144
2014,0.9543254538610795,0.014168433160064497,0.9999948294864768
2015,0.9640037837846254,0.06852777955702914,0.9999856592114463
2016,0.9707352902782467,0.26511693879599074,0.9999627782167829
2017,0.9775289804484406,0.5902337904678566,0.9999080890384469
2018,0.9832892757654826,0.8119424282678426,0.9997997838562427
2019,0.9875693125559193,0.880424930959919,0.9996648186474596
2020,0.9903660601694777,0.9036437854265891,0.9997234561303667
2021,0.9918134681566222,0.8935479867112281,0.9999046030043088
2022,0.9927935353273498,0.8571458306842227,0.9999778997229297
2023,0.9937389419216744,0.7539515338495147,0.9999950626224879
