Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.32074842242815005,0.08807637992800232,0.6083579492324664
2014,0.35917213364005873,0.1041562517194924,0.6440346459474322
2015,0.3981370102079802,0.1233763817371568,0.6793102870574927
2016,0.44057419250697066,0.14256626384490761,0.7106020820175658
2017,0.482487101911508,0.16831119653840002,0.7388992294922841
2018,0.5243491207725148,0.19205565169663086,0.7680340045755565
2019,0.5668393653738756,0.21593610871306274,0.7933880075854424
2020,0.6072688163311744,0.24422075932786177,0.8215504016801495
2021,0.647221372376144,0.27070718544205236,0.8467518225363437
2022,0.6837760768107862,0.2970544275866083,0.8665046574181012
2023,0.7189560873310603,0.3252330185262377,0.8866334629428445
