Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18733276028968399
Klebsiella oxytoca,0.16867276974454123
Pseudomonas aeruginosa,0.1621436905952056
Proteus mirabilis,0.1608657999653293
Klebsiella pneumoniae,0.1368022076625226
Providencia stuartii,0.1367901745824936
Enterobacter spp,0.13602172240214028
Escherichia coli,0.12868973482194587
Enterobacter cloacae,0.0998431492124231
Enterobacter hormaechi,0.06115217999205581
Klebsiella aerogenes,0.041989229679487705
Providencia spp,0.04150951764802746
Citrobacter freundii,0.037741118475486196
Morganella morganii,0.0044369025858484595
