Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.2110823059207801
Klebsiella pneumoniae,0.20564326682853007
Enterobacter cloacae,0.2016578837615775
Citrobacter freundii,0.20070343137273455
Escherichia coli,0.19119901667536401
Klebsiella oxytoca,0.18883809748120478
Enterobacter spp,0.18207616314946254
Proteus mirabilis,0.174379510350605
Providencia stuartii,0.17332979908450374
Pseudomonas aeruginosa,0.17024996887299348
Providencia spp,0.16417503917342036
Enterobacter hormaechi,0.16282577185082991
Klebsiella aerogenes,0.15648833615869934
Morganella morganii,0.006153823933076678
