Species,Median_Probability_Gene_Presence
Morganella morganii,0.35763778131544716
Enterobacter cloacae,0.21479810820979106
Providencia rettgeri,0.21346706820295305
Klebsiella pneumoniae,0.21059763975083126
Escherichia coli,0.20672964586613846
Klebsiella oxytoca,0.20652377426836802
Citrobacter freundii,0.20434207571012392
Enterobacter spp,0.20390883304579746
Klebsiella aerogenes,0.20361295453224823
Providencia stuartii,0.19379522013228762
Enterobacter hormaechi,0.19318768266812628
Proteus mirabilis,0.18824733664124732
Providencia spp,0.1866361828126467
Pseudomonas aeruginosa,0.17194574386640774
