,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,2.277,1.145,0.05,4.427,0.035,0.02,1071.0,1728.0,1.0
beta_year,-0.042,0.009,-0.059,-0.025,0.0,0.0,4965.0,2730.0,1.0
beta_gene_count,0.554,0.901,-1.025,2.354,0.017,0.014,2762.0,2892.0,1.0
beta_key_genes[0],-0.242,0.084,-0.407,-0.087,0.002,0.001,1631.0,2728.0,1.0
beta_key_genes[1],-0.242,0.084,-0.397,-0.087,0.002,0.001,1732.0,2595.0,1.0
beta_key_genes[2],-0.209,0.087,-0.369,-0.047,0.002,0.001,1617.0,2472.0,1.0
beta_key_genes[3],0.114,0.095,-0.071,0.285,0.002,0.001,1943.0,2659.0,1.0
beta_key_genes[4],-0.046,0.101,-0.233,0.139,0.002,0.001,1828.0,2536.0,1.0
sigma_species,2.147,0.431,1.408,2.966,0.011,0.009,1688.0,2162.0,1.0
sigma_gender,0.53,0.44,0.058,1.403,0.013,0.013,1179.0,1902.0,1.0
sigma_age,1.211,0.407,0.517,1.958,0.009,0.007,2004.0,2408.0,1.0
sigma_source,1.85,0.309,1.257,2.391,0.008,0.006,1594.0,2109.0,1.0
sigma_specialty,0.557,0.164,0.301,0.868,0.004,0.004,2015.0,2232.0,1.0
