Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.80539207706428,1.3041517184501518e-06,0.9999997065514672
2014,0.8951303061272187,2.1822542771380953e-05,0.9999991378397473
2015,0.9431681980894812,0.0003871517192439312,0.9999976025227048
2016,0.9723400842288356,0.004958850675695136,0.9999946084318344
2017,0.9859388132681559,0.060971546369374255,0.9999896232083723
2018,0.9921235554759424,0.3359432066168578,0.9999796836646654
2019,0.9960598576091184,0.7257704180201136,0.9999786427688662
2020,0.9979993606043337,0.847359418920239,0.9999862230542056
2021,0.9989519738044446,0.8728298447172149,0.9999967952192779
2022,0.9994522124032846,0.8431867789204197,0.9999996045615814
2023,0.9997098337761635,0.7507570779718369,0.9999999642888887
