Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.3197099983127062,6.747263961153527e-08,0.9999929167497413
2014,0.5390820290153733,1.5017966540112635e-06,0.999989675327991
2015,0.7509748721220604,3.0303525299253813e-05,0.9999828315214631
2016,0.8869715046735263,0.00048491024705463865,0.9999759002755363
2017,0.9542558175503116,0.007054952511702678,0.9999705429050412
2018,0.9820572793956832,0.079280916225692,0.9999703988405928
2019,0.9933084179347211,0.38682890945283505,0.9999744161849653
2020,0.997434576577279,0.7287446613790796,0.999988251769676
2021,0.9990386997469102,0.8695501102515232,0.9999968957108952
2022,0.9996151472992878,0.9285438901297234,0.9999995188844206
2023,0.999834480003984,0.9475507982777642,0.9999999600268767
