Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0010746516459616865,3.5390718008524634e-09,0.9725867484455303
2014,0.0028621153935129047,3.714498399627446e-08,0.967312256134303
2015,0.007276112910610267,3.684454469903008e-07,0.9643370681981837
2016,0.018562437093021036,4.2230160085075655e-06,0.9590340119858596
2017,0.04580810697325842,3.939433159022059e-05,0.9546632360763666
2018,0.10977341246559238,0.00033193254975254796,0.9482745828286862
2019,0.24264035647000465,0.00238711749749622,0.946897934317215
2020,0.4675834196845711,0.014847852434722671,0.9616178655252825
2021,0.7135355311861233,0.053205562453216386,0.97825187050008
2022,0.8660014946500234,0.12717743899127887,0.9931496919463276
2023,0.9430870681954329,0.1874460510320208,0.9987672561771521
