Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.999785716753443,0.9774782905076536,0.9999967463229416
2014,0.9996718009611789,0.9691868998608425,0.9999931835661734
2015,0.9994996344066553,0.9608359872958875,0.9999865974219749
2016,0.9992359177644572,0.9462068001126023,0.9999736431633635
2017,0.9988310636590199,0.9300417544903111,0.9999505760327667
2018,0.9981925614579013,0.9063499208240327,0.9999075730397968
2019,0.9972043925761984,0.8717750117683659,0.999842928954302
2020,0.9956186946821621,0.8312869327329281,0.9997355538582187
2021,0.9930624059386333,0.7684670159994877,0.9995790133865825
2022,0.9890092532922822,0.682774545568248,0.9993502848099298
2023,0.9828814682178281,0.5826986919041126,0.9990322292790603
