Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,4.9286789033968275e-06,1.8280757508946423e-10,0.0012739419136579928
2014,5.063606500749949e-05,7.129251730583773e-09,0.007305442638347891
2015,0.0005340905546034956,2.8002691838436274e-07,0.04750765356355371
2016,0.0056325260712283935,9.96639934432297e-06,0.273348981564552
2017,0.05810968066241499,0.00024552937778480303,0.7972523555821627
2018,0.3805653343058789,0.004503573504480444,0.9812028895685373
2019,0.8742211934864998,0.04967980381315775,0.9988519217582552
2020,0.9868080796887444,0.32221083786206534,0.9999479058399029
2021,0.9988302857284672,0.7741830756071093,0.9999982942773826
2022,0.9998899221402053,0.9519694761612749,0.9999999536320878
2023,0.9999897683554159,0.9908364970203088,0.999999999010766
