Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.931825138368505,0.0001282465002321586,0.9999998573857974
2014,0.9567667557598136,0.0011850536303395665,0.9999995007062518
2015,0.9721562281505997,0.008960392170669918,0.9999983910244146
2016,0.9828791456113962,0.06064139687551479,0.9999954293443449
2017,0.9894368421750033,0.2695881635126215,0.9999884549693385
2018,0.9933610100956004,0.5691572050901436,0.9999794117430157
2019,0.9959402832593626,0.7368075423221078,0.9999785446111511
2020,0.9974531322554991,0.7955197161972607,0.9999879422376812
2021,0.998260747957723,0.7351034856955612,0.9999966352854228
2022,0.9988902821250198,0.5527922517959837,0.9999993655791964
2023,0.9992846375572135,0.3128551744738068,0.9999999012538022
