Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9405061319682677,0.006560408674611926,0.999999567968866
2014,0.9616800655751714,0.020860505765997933,0.9999988136760626
2015,0.9747439014903501,0.0637774885247602,0.9999965981110526
2016,0.9830188301653808,0.15139001622204962,0.9999924168734079
2017,0.9898058343712166,0.29778578937515515,0.9999849150136921
2018,0.9931707001356177,0.4536836418991901,0.999978046135961
2019,0.9953607601999319,0.6220462206152712,0.9999776871056121
2020,0.9966681365931991,0.6892718024025593,0.9999854393759866
2021,0.997517602389255,0.7338882094836461,0.9999931783317638
2022,0.9982942895738522,0.6847003167096186,0.9999977823118328
2023,0.9987660338614341,0.6008924271436216,0.9999993464537378
