Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9853883815669446,0.04905593707114455,0.9999994379509926
2014,0.9902312026763351,0.13760583402401413,0.999998830147772
2015,0.9937368916323158,0.3057895205981647,0.999997220744148
2016,0.9958864994093997,0.5322821050515733,0.9999949581674283
2017,0.9972011275749153,0.7396046379424491,0.9999906972437245
2018,0.9981875959434305,0.8507488537218866,0.9999888959502564
2019,0.9987545123350641,0.9100872562123482,0.9999887779333367
2020,0.9990919298428509,0.933944116152853,0.9999925181197686
2021,0.9993236338196971,0.9421125664798402,0.9999970079736862
2022,0.9994971300984692,0.9410820603466492,0.9999989364403421
2023,0.9996310911427428,0.9296617473265061,0.9999996475155469
