Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9762679256024398,0.003017208552122438,0.9999999921431062
2014,0.9826046567499829,0.01595874955077577,0.9999999553351954
2015,0.9873227229171657,0.06435887375337952,0.9999997167985002
2016,0.9908963031021089,0.19256684496896406,0.9999985205346074
2017,0.9933858471627015,0.40470313603174773,0.9999932658159214
2018,0.9952761502797045,0.626341805166132,0.9999823424572413
2019,0.9964399535931152,0.7273277147675659,0.9999791656831717
2020,0.9971982881843575,0.7233437457805552,0.9999863444461475
2021,0.9979096465769041,0.523660845930258,0.9999948859456436
2022,0.9984984776197348,0.24633233664843818,0.9999987426243784
2023,0.9989193946300277,0.07263920520162226,0.9999997299755893
