Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9472449833843983,0.0003372038095104781,0.9999996634214682
2014,0.9655456952554919,0.00263255917546419,0.9999991629550803
2015,0.9794335210412273,0.020009215347290433,0.9999983377356035
2016,0.9872844194599872,0.11578917960045657,0.9999962574225872
2017,0.9925799942686614,0.39610024984554126,0.9999923275358897
2018,0.9956627328168288,0.6896904712466753,0.9999889027727756
2019,0.9975484385855415,0.8515022236702412,0.9999872285764543
2020,0.9986134150826089,0.8908213799552421,0.9999929270085081
2021,0.9990800545056342,0.8883353992178791,0.9999979689483283
2022,0.9994166016294086,0.8672467690743261,0.9999995708228182
2023,0.9996339552146647,0.7926393095663127,0.9999999265959598
