Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9856552494970643,0.03013157444106235,0.9999991068915409
2014,0.9906161378341977,0.10684890530039816,0.9999985172350979
2015,0.993984510987469,0.31032927076113953,0.9999973257685247
2016,0.9963435414928163,0.5725490240579836,0.9999957639349765
2017,0.9976838942139465,0.7843123694307806,0.999993530060798
2018,0.9985398118013558,0.8913020324652849,0.9999915808570743
2019,0.999041460489583,0.9368111685511803,0.9999914648215384
2020,0.9993223950979488,0.9507902578121706,0.9999947896244453
2021,0.9995423704943988,0.955737227837823,0.9999978876623975
2022,0.9996703470592656,0.9521056074129175,0.9999993403017924
2023,0.9997702708480561,0.9401025146884547,0.9999998346080905
