Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,0,0.0
Enterobacter cloacae,196,0,0.0
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,2,3.4482758620689653
Escherichia coli,3662,14,0.3823047515019115
Klebsiella aerogenes,42,6,14.285714285714286
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,48,0.8016032064128257
Morganella morganii,20,0,0.0
Proteus mirabilis,340,0,0.0
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,0,0.0
