Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18835582949285967
Klebsiella oxytoca,0.17275960567387033
Pseudomonas aeruginosa,0.16232529058987563
Proteus mirabilis,0.1619947957748742
Providencia stuartii,0.13762498238119547
Enterobacter spp,0.13651640173490337
Klebsiella pneumoniae,0.13577772576847358
Escherichia coli,0.13005602366878055
Enterobacter cloacae,0.10336315489375825
Enterobacter hormaechi,0.061473082346911456
Klebsiella aerogenes,0.04217903083010229
Providencia spp,0.04151396051018008
Citrobacter freundii,0.03837304279186658
Morganella morganii,0.004529290572395981
