Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21177851377770124
Klebsiella pneumoniae,0.20620095743236366
Citrobacter freundii,0.20309589257602823
Enterobacter cloacae,0.20283414968075805
Escherichia coli,0.19333356984267053
Enterobacter spp,0.18756222065463687
Klebsiella oxytoca,0.18271515125370208
Proteus mirabilis,0.17477983865215263
Providencia stuartii,0.17388868749773984
Pseudomonas aeruginosa,0.1702920489939515
Enterobacter hormaechi,0.16469852057301868
Klebsiella aerogenes,0.1619182483610468
Providencia spp,0.16133216392098704
Morganella morganii,0.006265378364905292
