Species,Median_Probability_Gene_Presence
Morganella morganii,0.35545268577914335
Providencia rettgeri,0.2130001133172702
Enterobacter cloacae,0.20903086169596438
Klebsiella pneumoniae,0.20851034475451943
Klebsiella oxytoca,0.2038949345829697
Citrobacter freundii,0.20285928209576315
Escherichia coli,0.20089894745032968
Enterobacter spp,0.19950724457822158
Klebsiella aerogenes,0.19816673974611093
Providencia stuartii,0.19218538481400932
Enterobacter hormaechi,0.1901964770501803
Providencia spp,0.1871253454486592
Proteus mirabilis,0.18547090456847382
Pseudomonas aeruginosa,0.17115763915755255
