Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.1537381236164162
Pseudomonas aeruginosa,0.13237124604221917
Enterobacter spp,0.12771966356032205
Escherichia coli,0.12314074967068286
Klebsiella pneumoniae,0.12224757054609482
Klebsiella aerogenes,0.12174444909714285
Citrobacter freundii,0.11903050834573034
Providencia rettgeri,0.11815384483404254
Enterobacter hormaechi,0.10720131814820813
Enterobacter cloacae,0.10302126844424342
Providencia stuartii,0.10293964858142597
Providencia spp,0.0759301193952199
Klebsiella oxytoca,0.060677749544232024
Morganella morganii,0.020876339844529086
