,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,5.548,1.429,2.955,8.246,0.031,0.028,2189.0,1896.0,1.0
beta_year,-0.04,0.039,-0.112,0.032,0.001,0.001,6008.0,2682.0,1.0
beta_gene_count,1.383,0.927,-0.288,3.15,0.013,0.016,4871.0,2614.0,1.0
beta_key_genes[0],-0.063,0.319,-0.65,0.56,0.005,0.005,4239.0,3048.0,1.0
beta_key_genes[1],-0.066,0.321,-0.656,0.548,0.005,0.005,3988.0,3195.0,1.0
beta_key_genes[2],-0.075,0.326,-0.676,0.544,0.005,0.005,4384.0,3156.0,1.0
beta_key_genes[3],0.956,0.418,0.198,1.75,0.006,0.007,4968.0,2954.0,1.0
beta_key_genes[4],0.184,0.372,-0.49,0.896,0.005,0.006,5059.0,3077.0,1.0
sigma_species,2.326,0.472,1.506,3.207,0.01,0.007,2118.0,2542.0,1.0
sigma_gender,0.718,0.654,0.022,1.969,0.022,0.02,861.0,1166.0,1.0
sigma_age,1.755,0.519,0.874,2.768,0.011,0.008,2184.0,2743.0,1.0
sigma_source,2.24,0.433,1.48,3.066,0.012,0.007,1356.0,2208.0,1.0
sigma_specialty,1.93,0.464,1.101,2.795,0.01,0.008,2413.0,2377.0,1.0
