Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.816228109162942,0.00030775958335228586,0.9999393310346139
2014,0.889582664409261,0.002217964444468806,0.9999252284759567
2015,0.9337944143527888,0.013730025568406218,0.999911126099072
2016,0.9609154480672798,0.07897081144157127,0.9998863960683975
2017,0.9767542340653085,0.3282122016381273,0.9998859162972527
2018,0.9864169543385284,0.6840575228770264,0.9998894609176291
2019,0.9925815669859053,0.8844132053319462,0.9999235717173276
2020,0.9958654799122303,0.9498337690370968,0.9999570171603989
2021,0.9977473285789404,0.9658127671747401,0.9999817477115638
2022,0.9987546939068244,0.970154307796707,0.9999948128479951
2023,0.9993136416262589,0.9665942902857303,0.9999989414134293
