Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.29333612697117717,0.09563080656883823,0.5496030841850107
2014,0.3863891188351095,0.141935024976711,0.6405190229213383
2015,0.48881051889100996,0.20454182890012024,0.7173887817178226
2016,0.5919810859709317,0.2873084681217814,0.7848830285568672
2017,0.6881215067111587,0.37699582860075637,0.8420458972395862
2018,0.7703797254447002,0.4782565237185839,0.890643281934762
2019,0.8349719708222924,0.5845454930934187,0.9260632300330403
2020,0.88410288403168,0.6743705101219195,0.9515643107087516
2021,0.9196518502651829,0.7507730948089688,0.9695438186809269
2022,0.9449870554355244,0.8134675729132126,0.9810978480023645
2023,0.9627944527459124,0.8605719794850574,0.9886274266013992
