Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.5886073506385583,3.934977928396414e-06,0.9998502418868094
2014,0.7304793687453852,3.867633854541313e-05,0.9998342644328355
2015,0.8370069438029969,0.000340188403849873,0.999816192544619
2016,0.9097472499783836,0.0027141867826952315,0.9998166225126235
2017,0.9505353057353749,0.02402623667621682,0.999848828654626
2018,0.9727680633826813,0.16988987250635407,0.9998754434344913
2019,0.9852981023554075,0.581945483683682,0.9999120954890919
2020,0.9921873937805774,0.8530132256265884,0.9999526074334558
2021,0.9962384616954567,0.9382064155169247,0.9999772017888641
2022,0.9982191343903892,0.9625046955420329,0.9999929978179374
2023,0.999145542035429,0.9690278412720784,0.9999984867590603
