Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.012491432572448481,0.0036594581216127663,0.029671548696448294
2014,0.015819087219542574,0.004650143227581975,0.036490778453885375
2015,0.019983030973093764,0.005865626455693876,0.04530102632431502
2016,0.0252425689419965,0.0074965901581929605,0.055168180222045594
2017,0.03191921047287996,0.009529656617302287,0.0680700528289616
2018,0.04029829899103696,0.012439838189356924,0.0828946606358001
2019,0.050800770936956285,0.015654393210768617,0.10157032108583305
2020,0.06365878717396897,0.01954641902596605,0.12461948332542132
2021,0.07943618653078667,0.02456245325869119,0.15231600185028799
2022,0.09857197876171947,0.030408049859992,0.18562001306112613
2023,0.12147528718211292,0.03760457179122664,0.22607971583386946
