Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.010169977883512978,1.4725687994039717e-07,0.25161281038458483
2014,0.030160170291635882,2.3014141746017433e-06,0.40270185758918975
2015,0.08486343744090832,3.1325201034539875e-05,0.5866306179639039
2016,0.21420837039563861,0.00037502085903564725,0.7751925774958467
2017,0.43992563111841865,0.004233063252624023,0.9117623981548697
2018,0.6968030964744791,0.04365020754192119,0.975014829029226
2019,0.8669362591233019,0.26753884287803925,0.9945837497465593
2020,0.9522485644686849,0.6425517106882104,0.9990471168229398
2021,0.9845336583683646,0.8486010671785763,0.9998564494694635
2022,0.9950784984387644,0.9274532526648986,0.9999811362363319
2023,0.9984378248678791,0.9636902419241833,0.9999982443950607
