Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.09596465847172755,0.031836069627204096,0.1943378599861649
2014,0.11426530403310976,0.03804109182363622,0.22478480514446547
2015,0.13525695845950558,0.04576350431174496,0.25732887924762726
2016,0.15939239296588745,0.05411658100730096,0.29419316759712955
2017,0.1873748385851612,0.06430709814565799,0.3297911899712653
2018,0.21882365385657396,0.0763474703890042,0.3727517199534935
2019,0.253260003106393,0.09070169700533086,0.41524501627317045
2020,0.2913826537062687,0.10710926095286369,0.4607508478501591
2021,0.33236192545373977,0.12541295622030704,0.505789935058569
2022,0.37576313463425703,0.1457413817689233,0.5520516897373975
2023,0.42068321029255107,0.16807279105120349,0.5990569790090632
