Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9892260364807782,0.7131039672416624,0.9999965331219562
2014,0.991239097754461,0.8206510123347605,0.9999914744774413
2015,0.9927637314194651,0.8805190998167889,0.9999830282057308
2016,0.9939288794800167,0.9130089227588442,0.9999722353359803
2017,0.9949053175025026,0.9313186442846378,0.9999608940649283
2018,0.9957880143454769,0.9411356047341009,0.9999551154988564
2019,0.9963001649900005,0.9308390137974256,0.9999624394959963
2020,0.9968147784740535,0.8919158782286746,0.9999778588376612
2021,0.9973094070343222,0.8046580254946932,0.9999878201462435
2022,0.9977502712295638,0.6463462844987101,0.9999935054181559
2023,0.998172542424781,0.44362336651309126,0.9999970111316647
