Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.6157499580418926,3.7003105403607966e-05,0.9998836931963574
2014,0.7327986855701609,0.0002714378750278361,0.9998155234619462
2015,0.829228914479617,0.001944835672623198,0.999747146736536
2016,0.8931319420329726,0.012031621752040849,0.9997451816848256
2017,0.9352470998295008,0.06893546613515994,0.9997235768546924
2018,0.962650556911583,0.2875043638779547,0.9997774849641055
2019,0.9779561632873932,0.6314704743062243,0.9998218836723934
2020,0.9880010454096124,0.8153751882711234,0.9999151390012208
2021,0.9934377478308251,0.8557147064090097,0.9999689518725995
2022,0.9964599703460488,0.854206800627969,0.9999906290192779
2023,0.9979842920574103,0.8494142654294461,0.999997764575985
