Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9326864741956379,0.013749168481673506,0.9999655307434111
2014,0.9572386850433072,0.05885867933216581,0.9999492180857305
2015,0.972603983683276,0.2120414369253877,0.99992979139105
2016,0.9822125283920086,0.5171979057203605,0.9999234851007629
2017,0.9883792360594701,0.8011347648486913,0.9999262459434657
2018,0.9925513738483306,0.912850145972189,0.9999404282040792
2019,0.9955818839095362,0.9487159923706221,0.9999520734987827
2020,0.9972307545324521,0.9635223531923408,0.9999688987454904
2021,0.9983089104366227,0.9671722400267301,0.9999871953586328
2022,0.9989490139829447,0.9631629894179753,0.9999961575966293
2023,0.9993367056329145,0.9542195962382984,0.9999991003324047
