Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.24558345829493228,0.0889955925856739,0.4532436276730996
2014,0.3140865252183124,0.12262753425671724,0.5253674633825093
2015,0.3922657444765947,0.1653515710308172,0.5991771093121183
2016,0.47615727875137315,0.21411618654290798,0.6698295897854375
2017,0.5626667063001438,0.2719898787497663,0.7343028351421965
2018,0.6440590600565601,0.34750596845455944,0.7969359192001605
2019,0.7174211050814172,0.42577339218017596,0.8457277323380605
2020,0.7805635071872525,0.5073308685522993,0.8855669660580145
2021,0.8323499642969188,0.5832950752883913,0.9180580708408503
2022,0.8735887344861025,0.6562252507194379,0.9413426304917439
2023,0.906019594014664,0.7196113675084057,0.9583391962310375
