Species,Total_Isolates,Discordant_Count,Discordance_Rate_%
Citrobacter freundii,62,0,0.0
Enterobacter cloacae,196,20,10.204081632653061
Enterobacter hormaechi,140,0,0.0
Enterobacter spp,58,0,0.0
Escherichia coli,3662,64,1.7476788640087384
Klebsiella aerogenes,42,0,0.0
Klebsiella oxytoca,18,0,0.0
Klebsiella pneumoniae,5988,392,6.5464261857047426
Morganella morganii,20,0,0.0
Proteus mirabilis,340,12,3.5294117647058822
Providencia rettgeri,36,0,0.0
Providencia spp,12,0,0.0
Providencia stuartii,62,0,0.0
Pseudomonas aeruginosa,476,74,15.546218487394958
