Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18804705974788738
Klebsiella oxytoca,0.16910478604991352
Pseudomonas aeruginosa,0.1621760609475981
Proteus mirabilis,0.16178429984077225
Providencia stuartii,0.13717735089501248
Enterobacter spp,0.1367916758830991
Klebsiella pneumoniae,0.13501980911266026
Escherichia coli,0.1285628709751513
Enterobacter cloacae,0.10093086135023063
Enterobacter hormaechi,0.059539456427411555
Providencia spp,0.04127689131083882
Klebsiella aerogenes,0.04112521336875845
Citrobacter freundii,0.0377437254553708
Morganella morganii,0.004457838888974334
