Species,Median_Probability_Gene_Presence
Morganella morganii,0.35639502757519836
Klebsiella aerogenes,0.22738964307529477
Enterobacter cloacae,0.22410649676006084
Providencia rettgeri,0.21136740189837497
Klebsiella pneumoniae,0.20902619558590457
Escherichia coli,0.20604721096153467
Klebsiella oxytoca,0.19708851645266778
Citrobacter freundii,0.1964422045956359
Providencia spp,0.18799828801230423
Enterobacter spp,0.1804770267094723
Providencia stuartii,0.17857374730919884
Proteus mirabilis,0.17463793361758886
Enterobacter hormaechi,0.17171691504818293
Pseudomonas aeruginosa,0.17030435583213843
