Species,Median_Probability_Gene_Presence
Morganella morganii,0.3572931976366914
Enterobacter cloacae,0.21528758072832085
Providencia rettgeri,0.21347169100512114
Klebsiella pneumoniae,0.2106505790930333
Klebsiella oxytoca,0.2079340330349639
Escherichia coli,0.2061768574256768
Enterobacter spp,0.20576152804659337
Citrobacter freundii,0.2044462693419483
Klebsiella aerogenes,0.20432356536285334
Enterobacter hormaechi,0.1943775596670289
Providencia stuartii,0.19282347488128343
Providencia spp,0.18911422007333956
Proteus mirabilis,0.18880378461898573
Pseudomonas aeruginosa,0.17234878765473274
