Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.1498648403547028
Pseudomonas aeruginosa,0.13185634177664704
Enterobacter spp,0.1269706006332818
Escherichia coli,0.12188902691473379
Klebsiella aerogenes,0.1201311098677513
Klebsiella pneumoniae,0.12004155759384808
Providencia rettgeri,0.11764940613796207
Citrobacter freundii,0.11723203256772471
Enterobacter hormaechi,0.10546154511193717
Enterobacter cloacae,0.10200128929226193
Providencia stuartii,0.09921701234412605
Providencia spp,0.07552838255212987
Klebsiella oxytoca,0.06013015850235548
Morganella morganii,0.02094413606015641
