,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,1.646,1.22,-0.638,3.92,0.047,0.023,676.0,1433.0,1.0
beta_year,0.225,0.012,0.202,0.245,0.0,0.0,4035.0,2926.0,1.0
beta_gene_count,0.425,0.904,-1.278,2.059,0.02,0.014,2070.0,2284.0,1.0
beta_key_genes[0],-0.919,0.085,-1.082,-0.768,0.002,0.001,2200.0,2814.0,1.0
beta_key_genes[1],-0.918,0.086,-1.079,-0.757,0.002,0.001,2167.0,2588.0,1.0
beta_key_genes[2],-0.897,0.091,-1.068,-0.731,0.002,0.001,2251.0,2929.0,1.0
beta_key_genes[3],-0.952,0.095,-1.125,-0.774,0.002,0.001,1996.0,2529.0,1.0
beta_key_genes[4],-0.771,0.097,-0.95,-0.59,0.002,0.001,2444.0,2845.0,1.0
sigma_species,2.936,0.474,2.039,3.774,0.011,0.007,1757.0,2389.0,1.0
sigma_gender,0.515,0.41,0.044,1.269,0.011,0.011,1448.0,1966.0,1.0
sigma_age,0.44,0.168,0.201,0.75,0.004,0.005,2447.0,2356.0,1.0
sigma_source,2.168,0.341,1.595,2.881,0.009,0.005,1486.0,2127.0,1.0
sigma_specialty,0.66,0.176,0.37,0.983,0.004,0.004,2218.0,2073.0,1.0
