Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8969134610325098,0.6149231855832615,0.9786674916287122
2014,0.9023615325271024,0.6445137632359713,0.9773002512444121
2015,0.9067368769612855,0.6740138416428734,0.9758998864299517
2016,0.911780275260889,0.6971460566853432,0.9745135418310554
2017,0.9164011679989983,0.7089973861504459,0.973892135185894
2018,0.9205398368376847,0.7168770684711239,0.9741914532535564
2019,0.9242980097893259,0.7233677569242944,0.9757202720385625
2020,0.927768928337273,0.7297602776752378,0.9783093367604243
2021,0.9306928504165811,0.7285032870814274,0.9809059614786136
2022,0.9340225400845439,0.7309856326438182,0.9829203606077025
2023,0.9368950442082076,0.7223629448581173,0.9854296993695907
