Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0003540914212691493,3.106402188057061e-12,0.9967770757512792
2014,0.0017719146952377175,2.0543245248874946e-10,0.9968374543097758
2015,0.008221995514155585,1.4857257552768984e-08,0.9973468429516213
2016,0.04104130484932006,8.534546137167268e-07,0.9974310139866623
2017,0.17711739486445865,4.7358645329430785e-05,0.997262028946713
2018,0.5264173641904735,0.0024653000269659795,0.997746281502181
2019,0.8603309521961142,0.07322384491546373,0.9984719131162034
2020,0.9708383786442585,0.5090231554451334,0.9994225959531208
2021,0.993743538361701,0.8831579048106598,0.9999648655291555
2022,0.9986101007281161,0.96474340293468,0.9999990562594122
2023,0.9996889584303472,0.9825287902912045,0.9999999808565299
