Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.001163762993024528,2.4089977362090027e-13,0.9999464625527762
2014,0.0049053470538868525,2.2871202882973053e-11,0.9999165823089885
2015,0.021787590046965916,2.2696669192150457e-09,0.9998500808713113
2016,0.08833100714853231,2.2671655417182135e-07,0.9997187392109841
2017,0.3054504928396079,2.3340267845442857e-05,0.9994911258583278
2018,0.6672729435797286,0.002021001781133254,0.9991963347602598
2019,0.8976290935773262,0.10174369113046243,0.9991168885730478
2020,0.9758417182151627,0.6921640686497391,0.9995454203752216
2021,0.9940856289014713,0.9125602014697646,0.9999652812236628
2022,0.9985813145802214,0.9353818153670549,0.9999992575427629
2023,0.9996737340479069,0.9214088728628093,0.9999999897675694
