Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.92775710867564,0.7510490413693707,0.9733770697039311
2014,0.9116567796917839,0.7095209129289902,0.9663469123154211
2015,0.8924154556883594,0.661284113659203,0.9579211566554933
2016,0.869012282730502,0.6088267413958515,0.9479998158797126
2017,0.8416144239325691,0.5530017053074446,0.9353299961837486
2018,0.8101599183334816,0.49808248860999155,0.9209129472028309
2019,0.7742132335552452,0.44307286168862425,0.9033723548110515
2020,0.7337034042555572,0.38729283767999817,0.882650612499222
2021,0.687712368284622,0.33405692452407,0.8575953982996152
2022,0.6378451771771558,0.284980965243254,0.8291713385369727
2023,0.5838148375611045,0.2431825963413874,0.7952738776996775
