Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,6.576774295828487e-05,1.7778534379367518e-13,0.08864108989077002
2014,0.00041383137264410267,2.0078604494160404e-11,0.17994611563383334
2015,0.0024421921704689538,2.2811367739183377e-09,0.35962711793546165
2016,0.015157951264099152,2.39706121503991e-07,0.618355428393554
2017,0.08569414671958768,2.3715284040247668e-05,0.8370477782389029
2018,0.35444062069813254,0.0015830873380746817,0.9546776281849341
2019,0.7721101601013782,0.07059535175181433,0.9916241948318705
2020,0.957625629616057,0.5536283630040999,0.9991508296173
2021,0.9935789105734922,0.8689884868320488,0.9999724233422906
2022,0.9990423868520619,0.9565615097778516,0.999999590219832
2023,0.9998566418105875,0.9821794742402129,0.9999999940225885
