Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999999797380941,0.9995175062471728,1.0
2014,0.999999703315701,0.998348017054845,0.999999999999986
2015,0.9999957163055249,0.9940203294648612,0.9999999999962184
2016,0.9999365128445026,0.9778056202338925,0.9999999992225389
2017,0.9990878635654133,0.9166706981349755,0.9999998341737547
2018,0.9871946593267704,0.6985527774910676,0.9999679171421542
2019,0.8507450352764772,0.2568014489194667,0.99574845218973
2020,0.288979252852888,0.01646983839023318,0.8093347133262346
2021,0.02664296191577313,0.00027531540916490366,0.2895906737360157
2022,0.0019103520262611533,1.7224536826245425e-06,0.07876696064522325
2023,0.00012415792118945402,7.381745263439571e-09,0.02122670141421485
