Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8229564301390486,0.5227347039705953,0.9284446565943051
2014,0.8156276186502669,0.508077168310583,0.9245641923828866
2015,0.807785910477515,0.4964611818546104,0.9204958496512287
2016,0.7995536385097424,0.48378330809496733,0.9162301960026876
2017,0.7918695374874916,0.4682418382654408,0.9117186306541469
2018,0.783053836848522,0.459318787421409,0.9072328670103748
2019,0.7742391771776074,0.447669203580019,0.9029446297007993
2020,0.7649533822922876,0.4308402742558909,0.8984734028004928
2021,0.7553692935197781,0.4173673424692779,0.893741674556104
2022,0.7453900339110673,0.4005319715147116,0.8887854283492496
2023,0.7354376555108753,0.3850744147090183,0.8837820864667909
