Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9999992884910788,0.9805897290708583,0.999999999999998
2014,0.9999941087445365,0.9549245955181185,0.99999999999975
2015,0.9999503322085985,0.8887385437889558,0.9999999999745743
2016,0.9995880744948129,0.7549918950685641,0.9999999965869306
2017,0.9965561242768868,0.4998912249309912,0.9999996594546328
2018,0.9714097842777687,0.24365433507505793,0.9999633761435242
2019,0.8006256600926155,0.07467902406753138,0.9970702012735913
2020,0.32034272323195223,0.01122579977687999,0.902630635663232
2021,0.053799255809897945,0.0005768153219026601,0.4365930877442172
2022,0.006825494240402397,1.0811609807636159e-05,0.12451125687922794
2023,0.0008596722283219533,1.205743027354478e-07,0.04382797196195462
