Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.999142308342196,0.9047483579749905,0.9999999968713316
2014,0.9970722021141083,0.8479677725255729,0.9999999111579502
2015,0.9896695819719773,0.7644208020176807,0.999997693753101
2016,0.9652438777807448,0.6386111097006101,0.9999353670163647
2017,0.8892938530339598,0.48319831163375143,0.998360499973882
2018,0.7031700200610811,0.2874067610592368,0.9598216727633734
2019,0.3920459356941055,0.11601549046393492,0.6979946861447285
2020,0.1423521608526398,0.014683802417289653,0.4697974373550292
2021,0.044619647002375015,0.0006532178342693573,0.3118672914684638
2022,0.01324665286919749,2.3144240123529944e-05,0.20192694270194644
2023,0.0038609976055563487,9.414346074766043e-07,0.12744383693134714
