Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.30722405186556556,1.5547905721835025e-11,0.9999999971333203
2014,0.4473465144144536,9.146310852118437e-10,0.9999999703569049
2015,0.5880512087808366,6.087703207038953e-08,0.9999997130943868
2016,0.7231971871547569,3.5340235758490625e-06,0.9999971535785778
2017,0.828258938864134,0.00019590969608725248,0.9999733806333718
2018,0.8982474443999939,0.011218658178428705,0.9997929415242033
2019,0.9379058557355759,0.27192540486215233,0.9990698291148867
2020,0.9661549121637812,0.6932979397174862,0.9992601761874063
2021,0.9816433245099583,0.4560690924750893,0.9999611616921429
2022,0.9902103449259527,0.09864989660879961,0.9999990907584406
2023,0.9945077632025672,0.01119205793822431,0.9999999854001036
