Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9563235434276329,0.00190750010655292,0.9999972172452672
2014,0.9628703260151501,0.010777806091289883,0.9999926453542939
2015,0.9690888323887219,0.06040348517523603,0.999981687669784
2016,0.9738460607088504,0.24582029455749668,0.9999561916167464
2017,0.9784780353901832,0.5909937299925091,0.9998982264999553
2018,0.9836161813098032,0.8258208263131872,0.9997670136336702
2019,0.9879484886193692,0.8974638139074559,0.9996655835248066
2020,0.9904873631776542,0.9090274977095602,0.9997589328636741
2021,0.991677685432153,0.9019118008615671,0.9999137223587575
2022,0.9925701196947514,0.8675032218924053,0.9999818157018664
2023,0.9937713415007101,0.7647155373453792,0.9999965519152234
