Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.32094969825166675,0.0986311806341124,0.5885678461972881
2014,0.360123427185978,0.11335194575623557,0.6242152370056259
2015,0.3994180468671558,0.13247949516023885,0.6576118022382149
2016,0.44107197097494455,0.15233272143603915,0.6918608012290463
2017,0.48267031614106176,0.17651016941791087,0.7223800669586036
2018,0.525187431835376,0.20106743497939714,0.7514381345383667
2019,0.5670423996329622,0.22802519120184198,0.7831603259538485
2020,0.6088477932593348,0.2566049118766667,0.8112986531075327
2021,0.6480956689326169,0.28703735326561947,0.8352904099349227
2022,0.6846272942912359,0.31961379108839183,0.8580151466209848
2023,0.7186304573326081,0.3540514126468537,0.8781872760185137
